"TIME","GEO","AGE","AGEDEF","C_BIRTH","UNIT","SEX","Value","Flag and Footnotes"
"2009","Spain","From 10 to 14 years","Age reached during the year","Total","Number","Total","23 029",""
"2009","Spain","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Spain","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Spain","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Spain","From 10 to 14 years","Age reached during the year","Unknown","Number","Total",":",""
"2009","Spain","From 15 to 64 years","Age reached during the year","Total","Number","Total","313 264",""
"2009","Spain","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Spain","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Spain","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Spain","From 15 to 64 years","Age reached during the year","Unknown","Number","Total",":",""
"2009","Spain","65 years or over","Age reached during the year","Total","Number","Total","16 520",""
"2009","Spain","65 years or over","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Spain","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Spain","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Spain","65 years or over","Age reached during the year","Unknown","Number","Total",":",""
"2009","France","Total","Age reached during the year","Total","Number","Total","296 970",""
"2009","France","Total","Age reached during the year","Reporting country","Number","Total","78 092",""
"2009","France","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","France","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","France","Total","Age reached during the year","Unknown","Number","Total","0",""
"2009","France","From 10 to 14 years","Age reached during the year","Total","Number","Total","13 518",""
"2009","France","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total","3 395",""
"2009","France","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","France","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","France","From 10 to 14 years","Age reached during the year","Unknown","Number","Total","0",""
"2009","France","From 15 to 64 years","Age reached during the year","Total","Number","Total","235 664",""
"2009","France","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total",":",""
"2009","France","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","France","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","France","From 15 to 64 years","Age reached during the year","Unknown","Number","Total",":",""
"2009","France","65 years or over","Age reached during the year","Total","Number","Total","7 484",""
"2009","France","65 years or over","Age reached during the year","Reporting country","Number","Total",":",""
"2009","France","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","France","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","France","65 years or over","Age reached during the year","Unknown","Number","Total",":",""
"2009","Croatia","Total","Age reached during the year","Total","Number","Total","13 213",""
"2009","Croatia","Total","Age reached during the year","Reporting country","Number","Total","1 432",""
"2009","Croatia","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Croatia","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Croatia","Total","Age reached during the year","Unknown","Number","Total","2",""
"2009","Croatia","From 10 to 14 years","Age reached during the year","Total","Number","Total",":",""
"2009","Croatia","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Croatia","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Croatia","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Croatia","From 10 to 14 years","Age reached during the year","Unknown","Number","Total",":",""
"2009","Croatia","From 15 to 64 years","Age reached during the year","Total","Number","Total",":",""
"2009","Croatia","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Croatia","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Croatia","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Croatia","From 15 to 64 years","Age reached during the year","Unknown","Number","Total",":",""
"2009","Croatia","65 years or over","Age reached during the year","Total","Number","Total",":",""
"2009","Croatia","65 years or over","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Croatia","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Croatia","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Croatia","65 years or over","Age reached during the year","Unknown","Number","Total",":",""
"2009","Italy","Total","Age reached during the year","Total","Number","Total","442 940",""
"2009","Italy","Total","Age reached during the year","Reporting country","Number","Total","26 938",""
"2009","Italy","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Italy","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Italy","Total","Age reached during the year","Unknown","Number","Total","0",""
"2009","Italy","From 10 to 14 years","Age reached during the year","Total","Number","Total","21 898",""
"2009","Italy","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total","665",""
"2009","Italy","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Italy","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Italy","From 10 to 14 years","Age reached during the year","Unknown","Number","Total","0",""
"2009","Italy","From 15 to 64 years","Age reached during the year","Total","Number","Total","367 276",""
"2009","Italy","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total","16 180",""
"2009","Italy","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Italy","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Italy","From 15 to 64 years","Age reached during the year","Unknown","Number","Total","0",""
"2009","Italy","65 years or over","Age reached during the year","Total","Number","Total","13 199",""
"2009","Italy","65 years or over","Age reached during the year","Reporting country","Number","Total","4 311",""
"2009","Italy","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Italy","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Italy","65 years or over","Age reached during the year","Unknown","Number","Total","0",""
"2009","Cyprus","Total","Age reached during the year","Total","Number","Total","22 581","b"
"2009","Cyprus","Total","Age reached during the year","Reporting country","Number","Total","1 599","b"
"2009","Cyprus","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Cyprus","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Cyprus","Total","Age reached during the year","Unknown","Number","Total","18","b"
"2009","Cyprus","From 10 to 14 years","Age reached during the year","Total","Number","Total","1 176","b"
"2009","Cyprus","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total","57","b"
"2009","Cyprus","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Cyprus","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Cyprus","From 10 to 14 years","Age reached during the year","Unknown","Number","Total","0","b"
"2009","Cyprus","From 15 to 64 years","Age reached during the year","Total","Number","Total","19 067","b"
"2009","Cyprus","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total","1 165","b"
"2009","Cyprus","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Cyprus","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Cyprus","From 15 to 64 years","Age reached during the year","Unknown","Number","Total","16","b"
"2009","Cyprus","65 years or over","Age reached during the year","Total","Number","Total","864","b"
"2009","Cyprus","65 years or over","Age reached during the year","Reporting country","Number","Total","308","b"
"2009","Cyprus","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Cyprus","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Cyprus","65 years or over","Age reached during the year","Unknown","Number","Total","1","b"
"2009","Latvia","Total","Age reached during the year","Total","Number","Total","3 731",""
"2009","Latvia","Total","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Latvia","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Latvia","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Latvia","Total","Age reached during the year","Unknown","Number","Total",":",""
"2009","Latvia","From 10 to 14 years","Age reached during the year","Total","Number","Total","63",""
"2009","Latvia","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Latvia","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Latvia","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Latvia","From 10 to 14 years","Age reached during the year","Unknown","Number","Total",":",""
"2009","Latvia","From 15 to 64 years","Age reached during the year","Total","Number","Total","2 912",""
"2009","Latvia","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Latvia","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Latvia","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Latvia","From 15 to 64 years","Age reached during the year","Unknown","Number","Total",":",""
"2009","Latvia","65 years or over","Age reached during the year","Total","Number","Total","438",""
"2009","Latvia","65 years or over","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Latvia","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Latvia","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Latvia","65 years or over","Age reached during the year","Unknown","Number","Total",":",""
"2009","Lithuania","Total","Age reached during the year","Total","Number","Total","6 487",""
"2009","Lithuania","Total","Age reached during the year","Reporting country","Number","Total","4 120",""
"2009","Lithuania","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Lithuania","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Lithuania","Total","Age reached during the year","Unknown","Number","Total","2",""
"2009","Lithuania","From 10 to 14 years","Age reached during the year","Total","Number","Total",":",""
"2009","Lithuania","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Lithuania","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Lithuania","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Lithuania","From 10 to 14 years","Age reached during the year","Unknown","Number","Total",":",""
"2009","Lithuania","From 15 to 64 years","Age reached during the year","Total","Number","Total",":",""
"2009","Lithuania","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Lithuania","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Lithuania","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Lithuania","From 15 to 64 years","Age reached during the year","Unknown","Number","Total",":",""
"2009","Lithuania","65 years or over","Age reached during the year","Total","Number","Total",":",""
"2009","Lithuania","65 years or over","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Lithuania","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Lithuania","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Lithuania","65 years or over","Age reached during the year","Unknown","Number","Total",":",""
"2009","Luxembourg","Total","Age reached during the year","Total","Number","Total","15 751",""
"2009","Luxembourg","Total","Age reached during the year","Reporting country","Number","Total","1 251",""
"2009","Luxembourg","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Luxembourg","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Luxembourg","Total","Age reached during the year","Unknown","Number","Total","86",""
"2009","Luxembourg","From 10 to 14 years","Age reached during the year","Total","Number","Total",":",""
"2009","Luxembourg","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Luxembourg","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Luxembourg","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Luxembourg","From 10 to 14 years","Age reached during the year","Unknown","Number","Total",":",""
"2009","Luxembourg","From 15 to 64 years","Age reached during the year","Total","Number","Total",":",""
"2009","Luxembourg","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Luxembourg","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Luxembourg","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Luxembourg","From 15 to 64 years","Age reached during the year","Unknown","Number","Total",":",""
"2009","Luxembourg","65 years or over","Age reached during the year","Total","Number","Total",":",""
"2009","Luxembourg","65 years or over","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Luxembourg","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Luxembourg","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Luxembourg","65 years or over","Age reached during the year","Unknown","Number","Total",":",""
"2009","Hungary","Total","Age reached during the year","Total","Number","Total","27 894",""
"2009","Hungary","Total","Age reached during the year","Reporting country","Number","Total","143",""
"2009","Hungary","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Hungary","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Hungary","Total","Age reached during the year","Unknown","Number","Total","0",""
"2009","Hungary","From 10 to 14 years","Age reached during the year","Total","Number","Total","612",""
"2009","Hungary","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total","2",""
"2009","Hungary","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Hungary","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Hungary","From 10 to 14 years","Age reached during the year","Unknown","Number","Total","0",""
"2009","Hungary","From 15 to 64 years","Age reached during the year","Total","Number","Total","22 129",""
"2009","Hungary","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total","129",""
"2009","Hungary","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Hungary","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Hungary","From 15 to 64 years","Age reached during the year","Unknown","Number","Total","0",""
"2009","Hungary","65 years or over","Age reached during the year","Total","Number","Total","1 347",""
"2009","Hungary","65 years or over","Age reached during the year","Reporting country","Number","Total","8",""
"2009","Hungary","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Hungary","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Hungary","65 years or over","Age reached during the year","Unknown","Number","Total","0",""
"2009","Malta","Total","Age reached during the year","Total","Number","Total","6 161",""
"2009","Malta","Total","Age reached during the year","Reporting country","Number","Total","1 091",""
"2009","Malta","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Malta","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Malta","Total","Age reached during the year","Unknown","Number","Total","5",""
"2009","Malta","From 10 to 14 years","Age reached during the year","Total","Number","Total",":",""
"2009","Malta","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Malta","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Malta","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Malta","From 10 to 14 years","Age reached during the year","Unknown","Number","Total",":",""
"2009","Malta","From 15 to 64 years","Age reached during the year","Total","Number","Total",":",""
"2009","Malta","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Malta","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Malta","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Malta","From 15 to 64 years","Age reached during the year","Unknown","Number","Total",":",""
"2009","Malta","65 years or over","Age reached during the year","Total","Number","Total",":",""
"2009","Malta","65 years or over","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Malta","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Malta","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Malta","65 years or over","Age reached during the year","Unknown","Number","Total",":",""
"2009","Netherlands","Total","Age reached during the year","Total","Number","Total","122 917","b"
"2009","Netherlands","Total","Age reached during the year","Reporting country","Number","Total","25 402","b"
"2009","Netherlands","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Netherlands","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Netherlands","Total","Age reached during the year","Unknown","Number","Total","0","b"
"2009","Netherlands","From 10 to 14 years","Age reached during the year","Total","Number","Total","5 119","b"
"2009","Netherlands","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total","1 564","b"
"2009","Netherlands","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Netherlands","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Netherlands","From 10 to 14 years","Age reached during the year","Unknown","Number","Total","0","b"
"2009","Netherlands","From 15 to 64 years","Age reached during the year","Total","Number","Total","102 759","b"
"2009","Netherlands","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Netherlands","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Netherlands","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Netherlands","From 15 to 64 years","Age reached during the year","Unknown","Number","Total",":",""
"2009","Netherlands","65 years or over","Age reached during the year","Total","Number","Total","2 091","b"
"2009","Netherlands","65 years or over","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Netherlands","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Netherlands","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Netherlands","65 years or over","Age reached during the year","Unknown","Number","Total",":",""
"2009","Austria","Total","Age reached during the year","Total","Number","Total","69 295",""
"2009","Austria","Total","Age reached during the year","Reporting country","Number","Total","7 200",""
"2009","Austria","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Austria","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Austria","Total","Age reached during the year","Unknown","Number","Total","38",""
"2009","Austria","From 10 to 14 years","Age reached during the year","Total","Number","Total",":",""
"2009","Austria","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Austria","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Austria","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Austria","From 10 to 14 years","Age reached during the year","Unknown","Number","Total",":",""
"2009","Austria","From 15 to 64 years","Age reached during the year","Total","Number","Total",":",""
"2009","Austria","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Austria","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Austria","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Austria","From 15 to 64 years","Age reached during the year","Unknown","Number","Total",":",""
"2009","Austria","65 years or over","Age reached during the year","Total","Number","Total",":",""
"2009","Austria","65 years or over","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Austria","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Austria","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Austria","65 years or over","Age reached during the year","Unknown","Number","Total",":",""
"2009","Poland","Total","Age reached during the year","Total","Number","Total","189 166","b"
"2009","Poland","Total","Age reached during the year","Reporting country","Number","Total","130 475","b"
"2009","Poland","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Poland","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Poland","Total","Age reached during the year","Unknown","Number","Total","88","b"
"2009","Poland","From 10 to 14 years","Age reached during the year","Total","Number","Total","3 946","b"
"2009","Poland","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total","1 739","b"
"2009","Poland","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Poland","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Poland","From 10 to 14 years","Age reached during the year","Unknown","Number","Total","3","b"
"2009","Poland","From 15 to 64 years","Age reached during the year","Total","Number","Total","168 922","b"
"2009","Poland","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Poland","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Poland","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Poland","From 15 to 64 years","Age reached during the year","Unknown","Number","Total",":",""
"2009","Poland","65 years or over","Age reached during the year","Total","Number","Total","4 522","b"
"2009","Poland","65 years or over","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Poland","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Poland","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Poland","65 years or over","Age reached during the year","Unknown","Number","Total",":",""
"2009","Portugal","Total","Age reached during the year","Total","Number","Total","32 307",""
"2009","Portugal","Total","Age reached during the year","Reporting country","Number","Total","14 217",""
"2009","Portugal","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Portugal","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Portugal","Total","Age reached during the year","Unknown","Number","Total","0",""
"2009","Portugal","From 10 to 14 years","Age reached during the year","Total","Number","Total","1 874",""
"2009","Portugal","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total","886",""
"2009","Portugal","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Portugal","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Portugal","From 10 to 14 years","Age reached during the year","Unknown","Number","Total","0",""
"2009","Portugal","From 15 to 64 years","Age reached during the year","Total","Number","Total","25 273",""
"2009","Portugal","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total","9 742",""
"2009","Portugal","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Portugal","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Portugal","From 15 to 64 years","Age reached during the year","Unknown","Number","Total","0",""
"2009","Portugal","65 years or over","Age reached during the year","Total","Number","Total","1 666",""
"2009","Portugal","65 years or over","Age reached during the year","Reporting country","Number","Total","1 303",""
"2009","Portugal","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Portugal","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Portugal","65 years or over","Age reached during the year","Unknown","Number","Total","0",""
"2009","Romania","Total","Age reached during the year","Total","Number","Total","135 844",""
"2009","Romania","Total","Age reached during the year","Reporting country","Number","Total","123 846",""
"2009","Romania","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Romania","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Romania","Total","Age reached during the year","Unknown","Number","Total","93",""
"2009","Romania","From 10 to 14 years","Age reached during the year","Total","Number","Total",":",""
"2009","Romania","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Romania","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Romania","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Romania","From 10 to 14 years","Age reached during the year","Unknown","Number","Total",":",""
"2009","Romania","From 15 to 64 years","Age reached during the year","Total","Number","Total",":",""
"2009","Romania","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Romania","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Romania","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Romania","From 15 to 64 years","Age reached during the year","Unknown","Number","Total",":",""
"2009","Romania","65 years or over","Age reached during the year","Total","Number","Total",":",""
"2009","Romania","65 years or over","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Romania","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Romania","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Romania","65 years or over","Age reached during the year","Unknown","Number","Total",":",""
"2009","Slovenia","Total","Age reached during the year","Total","Number","Total","30 296",""
"2009","Slovenia","Total","Age reached during the year","Reporting country","Number","Total","2 319",""
"2009","Slovenia","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Slovenia","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2009","Slovenia","Total","Age reached during the year","Unknown","Number","Total","26",""
"2009","Slovenia","From 10 to 14 years","Age reached during the year","Total","Number","Total",":",""
"2009","Slovenia","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total",":",""
"2009","Slovenia","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2009","Slovenia","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
